WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8187436167 -41.33550425),389878,AIMS,346833,20,Ahuriri Street,"20 Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,20,,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8187436,-41.33550425,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"20 Ahuriri Street, Strathmore Park, Wellington",174.8187436,-41.33550425
POINT (174.81921085 -41.3355287667),389880,AIMS,346835,21,Ahuriri Street,"21 Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,21,,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8192109,-41.33552877,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"21 Ahuriri Street, Strathmore Park, Wellington",174.8192109,-41.33552877
POINT (174.8185629333 -41.3355989833),389882,AIMS,346837,22,Ahuriri Street,"22 Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,22,,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8185629,-41.33559898,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"22 Ahuriri Street, Strathmore Park, Wellington",174.8185629,-41.33559898
POINT (174.8190556 -41.3356135333),389883,AIMS,346838,23,Ahuriri Street,"23 Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,23,,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8190556,-41.33561353,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"23 Ahuriri Street, Strathmore Park, Wellington",174.8190556,-41.33561353
POINT (174.8182572 -41.3355845167),389885,AIMS,1580417,24A,Ahuriri Street,"24A Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,24,A,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8182572,-41.33558452,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"24A Ahuriri Street, Strathmore Park, Wellington",174.8182572,-41.33558452
POINT (174.8185723833 -41.3358615333),389899,AIMS,346850,29,Ahuriri Street,"29 Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,29,,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8185724,-41.33586153,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"29 Ahuriri Street, Strathmore Park, Wellington",174.8185724,-41.33586153
POINT (174.8184118667 -41.3359570667),389908,AIMS,346858,31,Ahuriri Street,"31 Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,31,,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8184119,-41.33595707,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"31 Ahuriri Street, Strathmore Park, Wellington",174.8184119,-41.33595707
POINT (174.8182593167 -41.3360371),389913,AIMS,346862,33,Ahuriri Street,"33 Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,33,,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8182593,-41.3360371,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"33 Ahuriri Street, Strathmore Park, Wellington",174.8182593,-41.3360371
POINT (174.8179167833 -41.3361708167),389917,AIMS,346866,37,Ahuriri Street,"37 Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,37,,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8179168,-41.33617082,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"37 Ahuriri Street, Strathmore Park, Wellington",174.8179168,-41.33617082
POINT (174.8173633833 -41.3363015833),389930,AIMS,346878,43,Ahuriri Street,"43 Ahuriri Street, Strathmore Park, Wellington",Wellington City,,,,,,43,,,,Ahuriri,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8173634,-41.33630158,Ahuriri,,,Strathmore Park,Wellington,Ahuriri Street,"43 Ahuriri Street, Strathmore Park, Wellington",174.8173634,-41.33630158
