WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.778072020003 -41.2729275700003),3121464,CADS,121464,29/184,Molesworth Street,"29/184 Molesworth Street, Thorndon, Wellington",Wellington City,,29,,,,184,,,,Molesworth,Street,,,,Thorndon,Wellington,Thoroughfare,Current,174.778072,-41.27292757,Molesworth,,,Thorndon,Wellington,Molesworth Street,"29/184 Molesworth Street, Thorndon, Wellington",174.778072,-41.27292757
POINT (174.778063320003 -41.2730206500003),3121675,CADS,121675,P6/182,Molesworth Street,"P6/182 Molesworth Street, Thorndon, Wellington",Wellington City,,P6,,,,182,,,,Molesworth,Street,,,,Thorndon,Wellington,Thoroughfare,Current,174.7780633,-41.27302065,Molesworth,,,Thorndon,Wellington,Molesworth Street,"P6/182 Molesworth Street, Thorndon, Wellington",174.7780633,-41.27302065
POINT (174.778063320003 -41.2730206500003),3121681,CADS,121681,P12/182,Molesworth Street,"P12/182 Molesworth Street, Thorndon, Wellington",Wellington City,,P12,,,,182,,,,Molesworth,Street,,,,Thorndon,Wellington,Thoroughfare,Current,174.7780633,-41.27302065,Molesworth,,,Thorndon,Wellington,Molesworth Street,"P12/182 Molesworth Street, Thorndon, Wellington",174.7780633,-41.27302065
POINT (174.778063320003 -41.2730206500003),3121682,CADS,121682,P13/182,Molesworth Street,"P13/182 Molesworth Street, Thorndon, Wellington",Wellington City,,P13,,,,182,,,,Molesworth,Street,,,,Thorndon,Wellington,Thoroughfare,Current,174.7780633,-41.27302065,Molesworth,,,Thorndon,Wellington,Molesworth Street,"P13/182 Molesworth Street, Thorndon, Wellington",174.7780633,-41.27302065
POINT (174.778063320003 -41.2730206500003),3121686,CADS,121686,P17/182,Molesworth Street,"P17/182 Molesworth Street, Thorndon, Wellington",Wellington City,,P17,,,,182,,,,Molesworth,Street,,,,Thorndon,Wellington,Thoroughfare,Current,174.7780633,-41.27302065,Molesworth,,,Thorndon,Wellington,Molesworth Street,"P17/182 Molesworth Street, Thorndon, Wellington",174.7780633,-41.27302065
POINT (174.7736731333 -41.2619758667),355447,AIMS,315784,107,Wadestown Road,"107 Wadestown Road, Wadestown, Wellington",Wellington City,,,,,,107,,,,Wadestown,Road,,,,Wadestown,Wellington,Thoroughfare,Current,174.7736731,-41.26197587,Wadestown,,,Wadestown,Wellington,Wadestown Road,"107 Wadestown Road, Wadestown, Wellington",174.7736731,-41.26197587
POINT (174.7729717833 -41.2617619667),355470,AIMS,315807,115,Wadestown Road,"115 Wadestown Road, Wadestown, Wellington",Wellington City,,,,,,115,,,,Wadestown,Road,,,,Wadestown,Wellington,Thoroughfare,Current,174.7729718,-41.26176197,Wadestown,,,Wadestown,Wellington,Wadestown Road,"115 Wadestown Road, Wadestown, Wellington",174.7729718,-41.26176197
POINT (174.7730882667 -41.26150285),355472,AIMS,315809,116,Wadestown Road,"116 Wadestown Road, Wadestown, Wellington",Wellington City,,,,,,116,,,,Wadestown,Road,,,,Wadestown,Wellington,Thoroughfare,Current,174.7730883,-41.26150285,Wadestown,,,Wadestown,Wellington,Wadestown Road,"116 Wadestown Road, Wadestown, Wellington",174.7730883,-41.26150285
POINT (174.7727943667 -41.26171415),355474,AIMS,315811,117,Wadestown Road,"117 Wadestown Road, Wadestown, Wellington",Wellington City,,,,,,117,,,,Wadestown,Road,,,,Wadestown,Wellington,Thoroughfare,Current,174.7727944,-41.26171415,Wadestown,,,Wadestown,Wellington,Wadestown Road,"117 Wadestown Road, Wadestown, Wellington",174.7727944,-41.26171415
POINT (174.7729673333 -41.2614672167),355476,AIMS,315813,118,Wadestown Road,"118 Wadestown Road, Wadestown, Wellington",Wellington City,,,,,,118,,,,Wadestown,Road,,,,Wadestown,Wellington,Thoroughfare,Current,174.7729673,-41.26146722,Wadestown,,,Wadestown,Wellington,Wadestown Road,"118 Wadestown Road, Wadestown, Wellington",174.7729673,-41.26146722
POINT (174.7746291 -41.2624630667),355485,AIMS,315821,11,Cecil Road,"11 Cecil Road, Wadestown, Wellington",Wellington City,,,,,,11,,,,Cecil,Road,,,,Wadestown,Wellington,Thoroughfare,Current,174.7746291,-41.26246307,Cecil,,,Wadestown,Wellington,Cecil Road,"11 Cecil Road, Wadestown, Wellington",174.7746291,-41.26246307
POINT (174.7745126667 -41.2627942167),355488,AIMS,315824,11,Rankin Street,"11 Rankin Street, Wadestown, Wellington",Wellington City,,,,,,11,,,,Rankin,Street,,,,Wadestown,Wellington,Thoroughfare,Current,174.7745127,-41.26279422,Rankin,,,Wadestown,Wellington,Rankin Street,"11 Rankin Street, Wadestown, Wellington",174.7745127,-41.26279422
POINT (174.77244565 -41.2614709),355496,AIMS,315832,121,Wadestown Road,"121 Wadestown Road, Wadestown, Wellington",Wellington City,,,,,,121,,,,Wadestown,Road,,,,Wadestown,Wellington,Thoroughfare,Current,174.7724457,-41.2614709,Wadestown,,,Wadestown,Wellington,Wadestown Road,"121 Wadestown Road, Wadestown, Wellington",174.7724457,-41.2614709
POINT (174.7725886333 -41.2611990167),355498,AIMS,315834,122,Wadestown Road,"122 Wadestown Road, Wadestown, Wellington",Wellington City,,,,,,122,,,,Wadestown,Road,,,,Wadestown,Wellington,Thoroughfare,Current,174.7725886,-41.26119902,Wadestown,,,Wadestown,Wellington,Wadestown Road,"122 Wadestown Road, Wadestown, Wellington",174.7725886,-41.26119902
POINT (174.7745519167 -41.2598367667),355515,AIMS,315849,12,Weld Street,"12 Weld Street, Wadestown, Wellington",Wellington City,,,,,,12,,,,Weld,Street,,,,Wadestown,Wellington,Thoroughfare,Current,174.7745519,-41.25983677,Weld,,,Wadestown,Wellington,Weld Street,"12 Weld Street, Wadestown, Wellington",174.7745519,-41.25983677
POINT (174.7744423833 -41.2625616),355532,AIMS,315866,13,Cecil Road,"13 Cecil Road, Wadestown, Wellington",Wellington City,,,,,,13,,,,Cecil,Road,,,,Wadestown,Wellington,Thoroughfare,Current,174.7744424,-41.2625616,Cecil,,,Wadestown,Wellington,Cecil Road,"13 Cecil Road, Wadestown, Wellington",174.7744424,-41.2625616
POINT (174.7747006333 -41.2602647),355559,AIMS,315891,15,Weld Street,"15 Weld Street, Wadestown, Wellington",Wellington City,,,,,,15,,,,Weld,Street,,,,Wadestown,Wellington,Thoroughfare,Current,174.7747006,-41.2602647,Weld,,,Wadestown,Wellington,Weld Street,"15 Weld Street, Wadestown, Wellington",174.7747006,-41.2602647
